k_apt_id,apt_id
A13981006,2366
A13920706,2541
A13971502,2358
A13983105,2436
A13983105,2506
A13983004,2347
A13983004,2369
A13920703,2341
A13994302,2368
A13982702,2448
A13982301,2337
A13920803,2328
A13981903,2321
A13981903,2504
A13920001,2496
A13920104,2500
A13983608,2360
A13983608,2490
A10024778,2497
A13983709,2323
A13983707,2336
A13983707,2367
A13983707,2609
A13983803,2340
A13983713,2365
A13920105,2349
A13920102,2317
A13983801,2491
A13983815,2332
A13983816,2348
A13920106,2488
A13983810,2351
A13983811,2322
A13981407,2338
A13982704,2501
A13981606,2343
A13981604,2437
A13981608,2440
A10025133,2608
A13983712,2335
A10024770,2492
A13920506,2342
A13981304,2345
A13982002,2363
A13920501,2539
A13982604,2362
A13982005,2352
A13982005,2507
A13982003,2355
A13982202,2319
A13981901,2325
A15603204,6226
A15603003,6223
A10025768,6414
A15678101,6220
A15683901,6218
A10027614,6398
A15671801,6350
A10027633,6390
A15603002,6310
A15683402,6279
A15678103,6367
A15603008,6374
A15603001,6348
A15678102,6283
A15603006,6222
A15603502,6221
A15683601,6224
A10024777,6347
A15603401,6229
A15603009,6383
A15603203,6306
A15603206,6304
A13170401,1360
A13122002,1553
A13186305,1363
A13185603,1426
A10027670,1566
A13185602,1420
A13122104,1362
A13122104,1364
A13122001,1425
A13186401,1419
A12182901,3555
A12170702,3753
A10028177,3769
A12127006,3627
A12127001,3573
A12127002,3718
A12127005,3677
A12179501,3700
A12179502,3790
A12127004,3626
A12127004,3802
A12179504,3720
A12179503,3717
A12179505,3719
A12179508,3721
A13373301,695
A13612002,1729
A13612001,1730
A10025010,9279
A10026403,8879
A10026403,9280
A10025104,9358
A13483803,8875
A10025112,9380
A10025112,9392
A13409001,8880
A13472701,9141
A12174601,3733
A12184201,3590
A14024001,334
A14024002,335
A13775102,6948
A13788201,7223
A13786803,7277
A13786704,7154
A13786704,7259
A13786704,7335
A13786704,7513
A13786704,7555
A13770607,6992
A13786901,7075
A13770608,6994
A13770610,7119
A13775101,6924
A13775101,7254
A13788003,7125
A13772801,6932
A13707002,6915
A13785607,7069
A13785607,7190
A10026941,7338
A13707009,6922
A13707009,7127
A13785604,6940
A13787105,6913
A13707003,6989
A13788208,6921
A13785705,6928
A13770609,7116
A13788206,7074
A13792001,6910
A13707006,6982
A13707016,7178
A13788203,6927
A13707010,6949
A13787102,7028
A13770611,6930
A13786601,7194
A13788002,6918
A13788002,7222
A13792306,7033
A13707203,7029
A10025283,1826
A13615002,1692
A13681701,1691
A13676103,1791
A13676101,1777
A13615003,1690
A13819001,8416
A10027881,8682
A13484004,9002
A13484102,8932
A13484201,9012
A13484003,8931
A13403002,8922
A13484501,9022
A13403001,8929
A13403101,8923
A12171101,3747
A12125001,3729
A12185004,3567
A12125202,3564
A13382104,644
A13376405,738
A13381902,601
A13311101,667
A13384301,666
A13372101,626
A13384303,682
A13372102,623
A13384304,645
A13382502,598
A10026988,724
A13392307,596
A13382106,597
A13382106,599
A13383003,603
A13312101,679
A13312303,669
A13382802,628
A13383301,604
A13378001,678
A13312302,602
A13519006,8104
A13519007,8122
A13519002,8040
A13519001,8158
A13519003,8041
A13519005,8020
A13316001,685
A13383702,606
A13885102,8404
A13885304,8405
A13817202,8553
A13817101,8552
A13885303,8411
A13877501,8402
A13817001,8625
A13885301,8407
A13885306,8406
A12275501,2942
A12287202,2667
A12287204,2666
A12209001,2835
A13522007,7810
A13522004,7811
A13552002,8084
A13588601,7812
A13522006,7809
A13588402,7926
A13522003,7813
A14207203,1878
A14207203,1883
A14278101,1880
A14207202,1882
A10024756,191
A11087602,50
A11055002,55
A11087601,44
A10026792,5838
A15384101,5835
A15303502,5815
A15303003,5808
A15303203,5775
A15303002,5776
A15303205,5778
A15384603,5777
A15378501,5819
A15303401,5841
A15383702,5785
A15370103,5807
A15370103,5859
A15386506,5782
A15303103,5783
A15386404,5781
A15383905,5779
A15303102,5813
A15384501,5809
A14009001,414
A12179005,3739
A12103002,3528
A12185304,3529
A12103006,3632
A12179004,3731
A12179001,3702
A12185303,3527
A10025562,6205
A10027755,6143
A15005002,6128
A15085404,6017
A15096001,6118
A15005402,6014
A15086004,6024
A15086007,6020
A15005302,6019
A15005301,6023
A15005303,6015
A15085805,6026
A15005501,6092
A10025024,6190
A15005102,6108
A10027073,6163
A10027073,6173
A10027073,6206
A15086006,6018
A10025070,6191
A15005705,6016
A15005603,6013
A15005602,6022
A15083701,6058
A15086001,6025
A15083703,6010
A15005001,6114
A13187302,1455
A13187302,1559
A13113003,1391
A13113006,1507
A10027297,1456
A13186907,1462
A13186502,1490
A13186801,1461
A13113004,1457
A13187305,1385
A13186708,1383
A13113001,1459
A13187201,1387
A13187201,1390
A13187203,1386
A13187203,1614
A13176901,1384
A13187004,1458
A13113007,1571
A13113008,1572
A13113002,1450
A13186503,1452
A13186504,1497
A13186905,1393
A13187406,1392
A13178101,1508
A10025372,289
A10045302,157
A10045601,160
A10045001,159
A10078102,175
A10045404,161
A13302201,221
A10045403,162
A10045002,216
A10078901,210
A15183001,6343
A15601002,6354
A15672002,6272
A15672001,6355
A15601003,6365
A15670001,6300
A10024733,6302
A15601103,6301
A10025504,6410
A15601202,6273
A15601102,6268
A15601104,6275
A15685503,6276
A15685206,6269
A15601201,6271
A15601105,6270
A15685201,6303
A15288808,5139
A15288809,5067
A15288812,5063
A15277302,5331
A15288802,5074
A15288806,5071
A15288814,5064
A15288814,5068
A15288803,5065
A15288801,5070
A15288804,5073
A15288805,5140
A15288807,5223
A15288810,5062
A15288813,5069
A15101501,6538
A15187101,6506
A15179701,6504
A15101504,6604
A15101503,6580
A15190705,6502
A15185201,6545
A15101901,6511
A15185704,6548
A15177101,6510
A15102202,6591
A15188801,6503
A15102203,6509
A15101508,6494
A10024749,6542
A15101903,6493
A15102902,6501
A15101101,6541
A10026910,6592
A15101802,6550
A15190301,6573
A10024634,6546
A15101506,6496
A15176701,6497
A15101505,6606
A10024621,6607
A10025659,3128
A12208105,2660
A12208102,2715
A12208103,2759
A12208001,2714
A12208104,2657
A12208101,2896
A10024814,7918
A12208002,2708
A12289401,2658
A12208204,2659
A12289402,2716
A12208205,2661
A12208203,2707
A10024974,3892
A12185602,3584
A12171201,3685
A12185504,3639
A12111001,3642
A12185605,3583
A12185603,3640
A13716001,7261
A13716002,7301
A10028105,7346
A10028046,7302
A13716003,7280
A15878601,4256
A15883101,4070
A10024872,4352
A15809601,4128
A15809403,4054
A15809201,4175
A15883401,4192
A15884703,3994
A15809001,4038
A15809603,4001
A15883803,3995
A15809401,4069
A15883202,4172
A15809502,4130
A15882201,4157
A15883201,4102
A15884202,4160
A15883402,4221
A15883702,4007
A15809702,3993
A15807701,4085
A15873902,4200
A15807703,3925
A10025729,4262
A10025729,4398
A15807702,3934
A15807705,3909
A15807605,3908
A15807001,3930
A15807606,3907
A15807601,3927
A15807210,3924
A15807603,3912
A15807706,3902
A15807604,3906
A15807101,3901
A15873701,3903
A15807205,4026
A15807204,3937
A15885307,3922
A15807202,3921
A15885303,3919
A15807208,3915
A15884901,3940
A15885306,3936
A15807315,3916
A15807315,3920
A15886507,3932
A15807306,4023
A15886512,3917
A15885514,4017
A15886501,4135
A15807316,3913
A15807311,4116
A15807002,3911
A15886504,3914
A15886505,3931
A15886508,3918
A15807003,4250
A15879502,4181
A15807004,4182
A15870701,4219
A15809002,4196
A15886402,4077
A12114001,3556
A14006001,343
A13872502,8387
A13824002,8636
A13824003,8385
A13872503,8653
A13824005,8383
A13824005,8479
A13824001,8623
A13872504,8521
A13824006,8550
A13295201,2087
A13203102,2004
A13203202,2080
A13286203,2014
A13203001,2001
A13286107,2000
A13286002,2013
A13203401,2149
A13203303,2178
A13203302,2071
A13287503,2243
A13203002,2171
A13287801,2011
A13286304,1999
A13203408,2003
A13286110,2008
A13286110,2009
A13286110,2015
A13203403,2006
A13286109,2012
A13286106,2068
A13286105,2076
A13286904,2075
A12175203,3750
A12175203,3761
A12175203,3762
A12175203,3763
A10027090,3792
A10027906,3777
A10027906,3791
A12101001,3574
A13607301,1668
A13607302,1667
A13405003,9064
A13485302,9100
A13485301,8917
A13405201,8914
A13405002,8984
A13485401,8915
A13471501,8918
A10025174,9286
A10025174,9402
A13511003,7783
A13511001,7961
A13511004,7781
A13511004,7784
A13511004,7790
A13511101,7963
