k-아파트코드,k-아파트명,"k-단지분류(아파트,주상복합등등)",주소(시군구),주소(읍면동),나머지주소,주소(도로명),주소(도로상세주소),k-세대타입(분양형태),k-복도유형,k-난방방식,k-전체동수,k-전체세대수,k-건설사(시공사),k-시행사,k-사용검사일-사용승인일,k-전용면적별세대현황(60㎡이하),k-전용면적별세대현황(60㎡~85㎡이하),k-85㎡~135㎡이하,k-135㎡초과
A12127001,상암월드컵파크5단지,아파트,마포구,상암동,1658번지,상암산로1길,52,분양,계단식,지역난방,8,436,대동건설,SH공사,2005-09-20 00:00:00.0,0,329,107,0
A12127002,상암월드컵파크6단지,아파트,마포구,상암동,상암월드컵파크6단지,상암산로1길,57,분양,계단식,지역난방,14,484,일성건설,서울특별시 SH공사,2005-07-15 00:00:00.0,0,158,326,0
A12127004,상암월드컵파크2단지,아파트,마포구,상암동,1637번지,월드컵북로47길,46,분양,계단식,지역난방,7,657,서광산업,SH공사,2003-11-12 00:00:00.0,657,0,0,0
A12127005,상암월드컵파크7단지,아파트,마포구,상암동,1660,상암산로1길,92,분양,계단식,지역난방,17,733,진흥기업,SH공사,2005-06-02 00:00:00.0,0,571,162,0
A12127006,상암월드컵파크4단지,아파트,마포구,상암동,상암 월드컵파크 4단지,상암산로1길,24,분양,계단식,지역난방,12,761,태영건설,SH공사,2006-10-11 00:00:00.0,0,605,156,0
A12127007,상암월드컵1단지,아파트,마포구,상암동,1634,월드컵북로47길,8,임대,복도식,지역난방,6,820,(주)삼호,SH공사,2003-09-29 00:00:00.0,820,0,0,0
A12127008,상암월드컵8단지,아파트,마포구,상암동,1674,월드컵로42길,12,임대,복도식,지역난방,13,840,동아건설 ,SH 공사(서울시),2008-02-01 00:00:00.0,840,0,0,0
A12170401,마포동원베네스트,아파트,마포구,도화동,564,도화4길,41,분양,계단식,개별난방,3,167,동원산업건설,동원,2010-04-29 00:00:00.0,143,24,0,0
A12170402,마포한화오벨리스크,주상복합,마포구,도화동,555번지,마포대로,33,분양,복도식,중앙난방,1,662,한화,군인공제회,2004-10-08 00:00:00.0,404,252,6,0
A12170601,삼성래미안공덕4차,아파트,마포구,공덕동,464,마포대로11길,50,분양,계단식,개별난방,12,597,삼성물산(주) 건설부분,공덕제3구역 주택재개발조합,2005-11-17 00:00:00.0,315,174,108,0
A12170602,공덕2삼성임대,아파트,마포구,공덕동,38,마포대로20길,26,임대,복도식,개별난방,1,199,삼성물산,에스에이치공사,2004-06-29 00:00:00.0,199,0,0,0
A12170603,공덕래미안5차,아파트,마포구,공덕동,469번지,마포대로,167,임대+분양,혼합식,개별난방,9,794,삼성물산(주),공덕제5구역주택재개발정비사업소조합,2011-08-25 00:00:00.0,449,283,62,0
A12170702,래미안밤섬리베뉴 2,아파트,마포구,상수동,래미안밤섬리베뉴 Ⅱ,독막로20나길,21,임대+분양,혼합식,지역난방,8,530,삼성물산,상수제2구역주택재개발정비사업조합,2014-10-17 00:00:00.0,132,328,34,0
A12171101,월드컵아이파크1단지,아파트,마포구,성산동,월드컵아이파크,모래내로9길,6,분양,계단식,개별난방,5,320,현대산업개발,현대산업개발,2009-03-05 00:00:00.0,136,150,34,0
A12171201,밤섬경남아너스빌,아파트,마포구,신수동,459,독막로28길,10,분양,계단식,개별난방,5,313,경남기업(주),신수지역주택조합,2009-12-29 00:00:00.0,0,313,0,0
A12172201,신촌포스빌,주상복합,마포구,노고산동,신촌포스빌아파트,신촌로,150,분양,복도식,개별난방,1,350,(주)포스코건설,주식회사한국토지신탁,2004-07-31 00:00:00.0,349,1,0,0
A12172401,마포자이2차,아파트,마포구,대흥동,마포자이2차,서강대길,40,임대+분양,계단식,개별난방,6,558,GS건설(주),대흥3구역재개발조합,2014-03-06 00:00:00.0,96,368,94,0
A12172402,서희스타힐스,도시형 생활주택(주상복합),마포구,대흥동,이대역스타힐스,신촌로,160,분양,복도식,개별난방,1,203,서희건설,대선건설,2014-07-29 00:00:00.0,203,0,0,0
A12174601,메세나폴리스,아파트,마포구,서교동,490,양화로,45,임대+분양,계단식,개별난방,3,617,GS건설,메이저디벨로프먼트,2012-06-29 00:00:00.0,77,0,178,0
A12175203,마포래미안푸르지오,아파트,마포구,아현동,마포대로,마포대로,195,임대+분양,혼합식,개별난방,51,3885,삼성물산대우건설,아현제3구역주택재개발정비사업조합,2014-09-26 00:00:00.0,1902,1458,499,0
A12177801,서강한화오벨리스크스위트,주상복합,마포구,창전동,442,창전로,45,분양,계단식,개별난방,3,192,한화건설,서미트캠프,2007-04-11 00:00:00.0,0,164,28,0
A12179001,브라운스톤공덕,아파트,마포구,신공덕동,브라운스톤공덕아파트,백범로,230,분양,계단식,개별난방,3,290,이수건설(주),신공덕제5구역주택재개발조합,2009-02-19 00:00:00.0,146,96,48,0
A12179002,신공덕삼성임대,아파트,마포구,신공덕동,157,백범로37길,6,임대,복도식,개별난방,2,376,삼성,에스에이치공사,2000-08-14 00:00:00.0,376,0,0,0
A12179003,신공덕2삼성래미안제2,아파트,마포구,신공덕동,160,만리재로,74,임대,복도식,개별난방,1,103,삼성물산주식회사,삼성물산주식회사,2000-10-28 00:00:00.0,103,0,0,0
A12179004,마포펜트라우스,아파트,마포구,신공덕동,172,백범로,205,분양,계단식,개별난방,4,476,태영,LH,2011-05-18 00:00:00.0,0,112,284,0
A12179005,공덕아이파크,아파트,마포구,신공덕동,서울 마포구 신공덕동174,만리재로,36,분양,계단식,개별난방,4,195,현대산업개발,신공덕제6구역정비조합,2013-03-26 00:00:00.0,51,118,26,0
A12179501,상암휴먼시아2단지아파트,아파트,마포구,상암동,상암 휴먼시아 2단지,월드컵북로42가길,11,분양,혼합식,지역난방,3,184,양우건설사,LH공사,2009-06-22 00:00:00.0,164,20,0,0
A12179502,상암휴먼시아1단지,아파트,마포구,상암동,1630번지,월드컵북로43길,11,분양,계단식,지역난방,5,213,양우건설,LH공사,2009-06-22 00:00:00.0,0,193,20,0
A12179503,상암월드컵파크11단지,아파트,마포구,상암동,1741,월드컵북로,502-37,임대+분양,혼합식,지역난방,9,588,sh공사,한신,2010-06-23 00:00:00.0,384,126,78,0
A12179504,상암월드컵파크9단지,아파트,마포구,상암동,1752번지,월드컵북로,501,임대+분양,혼합식,지역난방,16,1036,신창건설(주)->우방건설,SH공사,2010-10-14 00:00:00.0,523,380,133,0
